year,country,iso,value,note,source
2004,Afghanistan,AFG,Yes,,
2005,Afghanistan,AFG,Yes,,
2014,Afghanistan,AFG,Yes,,
2018,Afghanistan,AFG,Yes,,
2019,Afghanistan,AFG,Yes,,
2020,Afghanistan,AFG,Yes,,
2003,South Africa,ZAF,Yes,,
2004,South Africa,ZAF,Yes,,
2014,South Africa,ZAF,Yes,,
2015,South Africa,ZAF,Yes,,
2016,South Africa,ZAF,Yes,,
2017,South Africa,ZAF,Yes,,
2018,South Africa,ZAF,Yes,,
2019,South Africa,ZAF,Yes,,
2020,South Africa,ZAF,Yes,,
2004,Angola,AGO,Yes,,
2007,Angola,AGO,Yes,,
2008,Angola,AGO,Yes,,
2020,Angola,AGO,Yes,,
2004,Albania,ALB,No,,
2005,Albania,ALB,No,,
2006,Albania,ALB,No,,
2014,Albania,ALB,Yes,,
2015,Albania,ALB,Yes,,
2016,Albania,ALB,Yes,,
2017,Albania,ALB,Yes,,
2018,Albania,ALB,Yes,,
2019,Albania,ALB,Yes,,
2020,Albania,ALB,Yes,,
2004,Algeria,DZA,Yes,,
2005,Algeria,DZA,Yes,,
2015,Algeria,DZA,No,,
2017,Algeria,DZA,No,,
2018,Algeria,DZA,No,,
2019,Algeria,DZA,No,,
2020,Algeria,DZA,No,,
2009,Andorra,AND,No,,
2010,Andorra,AND,No,,
2016,Andorra,AND,Yes,,
2006,Argentina,ARG,No,,
2007,Argentina,ARG,No,,
2010,Argentina,ARG,No,,
2015,Argentina,ARG,Yes,,
2013,Armenia,ARM,Yes,,
2014,Armenia,ARM,Yes,,
2015,Armenia,ARM,Yes,,
2016,Armenia,ARM,Yes,,
2018,Armenia,ARM,Yes,,
2019,Armenia,ARM,Yes,,
2020,Armenia,ARM,Yes,,
2003,Saudi Arabia,SAU,Yes,,
2005,Saudi Arabia,SAU,Yes,,
2006,Saudi Arabia,SAU,Yes,,
2007,Saudi Arabia,SAU,Yes,,
2008,Saudi Arabia,SAU,Yes,,
2010,Saudi Arabia,SAU,Yes,,
2012,Saudi Arabia,SAU,Yes,,
2013,Saudi Arabia,SAU,Yes,,
2014,Saudi Arabia,SAU,Yes,,
2015,Saudi Arabia,SAU,Yes,,
2016,Saudi Arabia,SAU,Yes,,
2017,Saudi Arabia,SAU,Yes,,
2018,Saudi Arabia,SAU,Yes,,
2019,Saudi Arabia,SAU,Yes,,
2020,Saudi Arabia,SAU,Yes,,
2009,Antigua and Barbuda,ATG,Yes,,
2010,Antigua and Barbuda,ATG,Yes,,
2012,Antigua and Barbuda,ATG,No,,
2004,Australia,AUS,Yes,,
