year,country,iso,value,note,source
2020,Angola,AGO,LRIC,,
2019,Albania,ALB,LRIC,,
2021,Andorra,AND,Fully Distributed Costs,,
2019,Armenia,ARM,Other,,
2020,Armenia,ARM,Other,,
2021,Armenia,ARM,Other,,
2019,Saudi Arabia,SAU,LRIC+,,
2020,Saudi Arabia,SAU,LRIC+,,
2021,Saudi Arabia,SAU,LRIC+,,
2020,Australia,AUS,Other,,
2021,Australia,AUS,Other,,
2019,Austria,AUT,Pure LRIC,,
2020,Austria,AUT,LRAIC,,
2021,Austria,AUT,LRAIC,,
2019,Brazil,BRA,Fully Distributed Costs,,
2020,Brazil,BRA,Fully Distributed Costs,,
2021,Brazil,BRA,Fully Distributed Costs,,
2021,Bahamas,BHS,Other,,
2020,Burundi,BDI,Other,,
2021,Burundi,BDI,Other,,
2019,Belgium,BEL,Pure LRIC,,
2020,Belgium,BEL,Pure LRIC,,
2021,Belgium,BEL,Pure LRIC,,
2019,Benin,BEN,LRIC+,,
2020,Benin,BEN,LRIC+,,
2021,Benin,BEN,LRIC+,,
2019,Burkina Faso,BFA,LRIC,,
2020,Burkina Faso,BFA,LRIC,,
2021,Burkina Faso,BFA,LRIC+,,
2021,Bahrain,BHR,LRIC,,
2020,Belarus,BLR,Fully Distributed Costs,,
2021,Belarus,BLR,Fully Distributed Costs,,
2020,Botswana,BWA,Fully Distributed Costs,,
2021,Botswana,BWA,Fully Distributed Costs,,
2019,Brunei Darussalam,BRN,LRIC,,
2020,Brunei Darussalam,BRN,Other,,
2021,Brunei Darussalam,BRN,Other,,
2019,Bulgaria,BGR,Pure LRIC,,
2020,Bulgaria,BGR,Pure LRIC,,
2021,Bulgaria,BGR,Pure LRIC,,
2020,Canada,CAN,Other,,
2021,Cambodia,KHM,Stand Alone Costs (SAC),,
2019,Chile,CHL,Other,,
2020,Chile,CHL,LRIC,,
2021,Chile,CHL,LRIC,,
2021,China,CHN,Other,,
2019,Colombia,COL,Pure LRIC,,
2020,Colombia,COL,Pure LRIC,,
2021,Colombia,COL,Pure LRIC,,
2021,Congo (Rep. of the),COG,Other,,
2021,Cabo Verde,CPV,Fully Distributed Costs,,
2019,Côte d'Ivoire,CIV,LRAIC,,
2020,Costa Rica,CRI,Fully Distributed Costs,,
2021,Costa Rica,CRI,Fully Distributed Costs,,
2019,Cyprus,CYP,LRIC,,
2020,Cyprus,CYP,LRIC,,
2021,Cyprus,CYP,LRIC,,
2019,Spain,ESP,Pure LRIC,,
2020,Spain,ESP,Pure LRIC,,
2021,Spain,ESP,Pure LRIC,,
2020,Egypt,EGY,Fully Distributed Costs,,
2021,Egypt,EGY,Fully Distributed Costs,,
2020,Estonia,EST,Fully Distributed Costs,,
2021,Estonia,EST,Fully Distributed Costs,,
2019,France,FRA,Fully Distributed Costs,,
2020,France,FRA,Fully Distributed Costs,,
2021,France,FRA,Other,,
2021,Fiji,FJI,Fully Distributed Costs,,
2019,Finland,FIN,LRIC+,,
2019,Gabon,GAB,Fully Distributed Costs,,
2021,Gabon,GAB,Fully Distributed Costs,,
2020,Gambia,GMB,Fully Distributed Costs,,
2019,Greece,GRC,LRIC+,,
2020,Greece,GRC,LRIC+,,
2021,Greece,GRC,LRIC+,,
2019,"Hong Kong, China",HKG,Other,,
2020,"Hong Kong, China",HKG,Other,,
2021,"Hong Kong, China",HKG,Other,,
2020,Honduras,HND,LRIC,,
2021,Honduras,HND,LRIC+,,
2020,Hungary,HUN,Pure LRIC,,
2021,Hungary,HUN,Pure LRIC,,
2019,Croatia,HRV,Pure LRIC,,
2020,Croatia,HRV,LRIC+,,
2021,Croatia,HRV,LRIC+,,
2019,Italy,ITA,LRIC+,,
2021,Italy,ITA,LRIC,,
2021,Indonesia,IDN,LRIC+,,
2019,Ireland,IRL,LRIC+,,
2020,Ireland,IRL,LRIC+,,
2021,Ireland,IRL,LRIC+,,
2019,Iran (Islamic Republic of),IRN,Fully Distributed Costs,,
2019,Iceland,ISL,Other,,
2020,Iceland,ISL,Other,,
2021,Iceland,ISL,Other,,
2019,Israel,ISR,LRAIC,,
2020,Israel,ISR,LRAIC,,
2021,Israel,ISR,Stand Alone Costs (SAC),,
2019,Jordan,JOR,LRIC+,,
2021,Jordan,JOR,LRIC+,,
2021,Kenya,KEN,Pure LRIC,,
2020,Kuwait,KWT,Other,,
2021,Kuwait,KWT,Other,,
2020,Lao P.D.R.,LAO,Fully Distributed Costs,,
2021,Lao P.D.R.,LAO,Fully Distributed Costs,,
2020,Saint Lucia,LCA,LRIC+,,
2021,Saint Lucia,LCA,LRIC+,,
2019,Liechtenstein,LIE,Fully Distributed Costs,,
2020,Liechtenstein,LIE,Fully Distributed Costs,,
2021,Liechtenstein,LIE,Fully Distributed Costs,,
2019,Lesotho,LSO,LRIC,,
2020,Lesotho,LSO,Pure LRIC,,
2021,Lesotho,LSO,Pure LRIC,,
2020,Lithuania,LTU,Fully Distributed Costs,,
2021,Mauritius,MUS,Fully Distributed Costs,,
2019,Mexico,MEX,Pure LRIC,,
2021,Mexico,MEX,LRIC,,
2019,Malaysia,MYS,LRIC+,,
2020,Malaysia,MYS,LRIC+,,
2021,Malaysia,MYS,LRIC+,,
2019,Mali,MLI,LRIC+,,
2020,Mali,MLI,LRIC+,,
2019,Malta,MLT,Pure LRIC,,
2019,Mongolia,MNG,Fully Distributed Costs,,
2020,Mongolia,MNG,LRIC,,
2021,Mongolia,MNG,LRIC,,
2019,Mozambique,MOZ,LRAIC,,
2020,Mozambique,MOZ,LRIC,,
2021,Mozambique,MOZ,LRIC,,
2019,Morocco,MAR,Other,,
2019,Malawi,MWI,LRIC+,,
2021,Malawi,MWI,LRIC+,,
2021,Nicaragua,NIC,Other,,
2019,Nigeria,NGA,LRIC,,
2021,Nigeria,NGA,LRIC,,
2019,Namibia,NAM,LRIC,,
2019,Norway,NOR,Pure LRIC,,
2020,Nepal (Republic of),NPL,LRIC+,,
2020,Oman,OMN,LRIC+,,
2021,Oman,OMN,LRIC+,,
2020,Pakistan,PAK,Other,,
2020,Panama,PAN,Other,,
2021,Panama,PAN,Other,,
2019,Poland,POL,LRIC+,,
2019,Portugal,PRT,Pure LRIC,,
2019,Paraguay,PRY,LRIC+,,
2021,Paraguay,PRY,LRIC+,,
2019,Qatar,QAT,Fully Distributed Costs,,
2020,Qatar,QAT,Fully Distributed Costs,,
2021,Qatar,QAT,Fully Distributed Costs,,
2021,Russian Federation,RUS,Fully Distributed Costs,,
2019,Sweden,SWE,Pure LRIC,,
2020,Sweden,SWE,Pure LRIC,,
2019,Sudan,SDN,LRIC+,,
2020,Sudan,SDN,LRIC,,
2021,Sudan,SDN,LRIC,,
2021,Samoa,WSM,Other,,
2019,Somalia,SOM,Other,,
2021,Somalia,SOM,Other,,
2021,Sierra Leone,SLE,Other,,
2019,Switzerland,CHE,LRIC+,,
2020,Switzerland,CHE,LRIC+,,
2021,Switzerland,CHE,LRIC+,,
