year,country,iso,value,note,source
2014,Afghanistan,AFG,Yes,,
2018,Afghanistan,AFG,Yes,,
2019,Afghanistan,AFG,Yes,,
2020,Afghanistan,AFG,Yes,,
2014,South Africa,ZAF,Yes,,
2015,South Africa,ZAF,Yes,,
2016,South Africa,ZAF,Yes,,
2017,South Africa,ZAF,Yes,,
2018,South Africa,ZAF,Yes,,
2019,South Africa,ZAF,Yes,,
2020,South Africa,ZAF,Yes,,
2007,Angola,AGO,Yes,,
2008,Angola,AGO,Yes,,
2020,Angola,AGO,Yes,,
2014,Albania,ALB,Yes,,
2015,Albania,ALB,Yes,,
2016,Albania,ALB,Yes,,
2017,Albania,ALB,Yes,,
2018,Albania,ALB,Yes,,
2019,Albania,ALB,Yes,,
2020,Albania,ALB,Yes,,
2015,Algeria,DZA,Yes,,
2016,Algeria,DZA,Yes,,
2017,Algeria,DZA,Yes,,
2018,Algeria,DZA,Yes,,
2019,Algeria,DZA,Yes,,
2020,Algeria,DZA,Yes,,
2007,Andorra,AND,Yes,,
2008,Andorra,AND,Yes,,
2009,Andorra,AND,Yes,,
2010,Andorra,AND,Yes,,
2011,Andorra,AND,Yes,,
2012,Andorra,AND,Yes,,
2016,Andorra,AND,Yes,,
2007,Argentina,ARG,Yes,,
2008,Argentina,ARG,Yes,,
2009,Argentina,ARG,Yes,,
2010,Argentina,ARG,Yes,,
2017,Argentina,ARG,Yes,,
2018,Argentina,ARG,Yes,,
2019,Argentina,ARG,Yes,,
2020,Argentina,ARG,Yes,,
2013,Armenia,ARM,No,,
2014,Armenia,ARM,No,,
2015,Armenia,ARM,No,,
2016,Armenia,ARM,No,,
2018,Armenia,ARM,No,,
2019,Armenia,ARM,No,,
2020,Armenia,ARM,No,,
2007,Saudi Arabia,SAU,Yes,,
2008,Saudi Arabia,SAU,Yes,,
2010,Saudi Arabia,SAU,Yes,,
2012,Saudi Arabia,SAU,Yes,,
2013,Saudi Arabia,SAU,Yes,,
2014,Saudi Arabia,SAU,Yes,,
2015,Saudi Arabia,SAU,Yes,,
2016,Saudi Arabia,SAU,Yes,,
2017,Saudi Arabia,SAU,Yes,,
2018,Saudi Arabia,SAU,Yes,,
2019,Saudi Arabia,SAU,Yes,,
2020,Saudi Arabia,SAU,Yes,,
2009,Antigua and Barbuda,ATG,No,,
2010,Antigua and Barbuda,ATG,No,,
2011,Antigua and Barbuda,ATG,No,,
2012,Antigua and Barbuda,ATG,No,,
2013,Antigua and Barbuda,ATG,No,,
2007,Australia,AUS,Yes,,
2008,Australia,AUS,Yes,,
2009,Australia,AUS,Yes,,
2010,Australia,AUS,Yes,,
2012,Australia,AUS,Yes,,
2013,Australia,AUS,Yes,,
2014,Australia,AUS,Yes,,
2015,Australia,AUS,Yes,,
2017,Australia,AUS,Yes,,
2018,Australia,AUS,Yes,,
2019,Australia,AUS,Yes,,
2020,Australia,AUS,Yes,,
2007,Austria,AUT,Yes,,
2008,Austria,AUT,Yes,,
2009,Austria,AUT,Yes,,
2010,Austria,AUT,Yes,,
2012,Austria,AUT,Yes,,
2013,Austria,AUT,Yes,,
2014,Austria,AUT,Yes,,
2015,Austria,AUT,Yes,,
2016,Austria,AUT,Yes,,
2017,Austria,AUT,Yes,,
2018,Austria,AUT,Yes,,
2019,Austria,AUT,Yes,,
2014,Azerbaijan,AZE,Yes,,
2015,Azerbaijan,AZE,Yes,,
2016,Azerbaijan,AZE,Yes,,
2017,Azerbaijan,AZE,Yes,,
2018,Azerbaijan,AZE,Yes,,
2019,Azerbaijan,AZE,Yes,,
2020,Azerbaijan,AZE,Yes,,
2008,Brazil,BRA,Yes,,
2009,Brazil,BRA,Yes,,
2010,Brazil,BRA,Yes,,
2012,Brazil,BRA,Yes,,
2013,Brazil,BRA,Yes,,
2014,Brazil,BRA,Yes,,
2015,Brazil,BRA,Yes,,
2016,Brazil,BRA,Yes,,
2017,Brazil,BRA,Yes,,
2018,Brazil,BRA,Yes,,
2019,Brazil,BRA,Yes,,
2020,Brazil,BRA,Yes,,
2010,Bahamas,BHS,No,,
2011,Bahamas,BHS,Yes,,
2012,Bahamas,BHS,Yes,,
2013,Bahamas,BHS,Yes,,
2014,Bahamas,BHS,Yes,,
2019,Bahamas,BHS,No,,
2020,Bahamas,BHS,No,,
2011,Burundi,BDI,No,,
2016,Burundi,BDI,No,,
2018,Burundi,BDI,Yes,,
2019,Burundi,BDI,Yes,,
2020,Burundi,BDI,Yes,,
2007,Belgium,BEL,Yes,,
2008,Belgium,BEL,Yes,,
2009,Belgium,BEL,Yes,,
2010,Belgium,BEL,Yes,,
2012,Belgium,BEL,Yes,,
2013,Belgium,BEL,Yes,,
2014,Belgium,BEL,Yes,,
2015,Belgium,BEL,Yes,,
2016,Belgium,BEL,Yes,,
2017,Belgium,BEL,Yes,,
2018,Belgium,BEL,Yes,,
2019,Belgium,BEL,Yes,,
2020,Belgium,BEL,Yes,,
2010,Benin,BEN,Yes,,
2011,Benin,BEN,Yes,,
2014,Benin,BEN,Yes,,
2015,Benin,BEN,Yes,,
2016,Benin,BEN,Yes,,
2017,Benin,BEN,Yes,,
2018,Benin,BEN,Yes,,
2019,Benin,BEN,Yes,,
2020,Benin,BEN,Yes,,
2008,Burkina Faso,BFA,Yes,,
2010,Burkina Faso,BFA,Yes,,
2012,Burkina Faso,BFA,No,,
2014,Burkina Faso,BFA,Yes,,
2015,Burkina Faso,BFA,No,,
2017,Burkina Faso,BFA,Yes,,
2018,Burkina Faso,BFA,Yes,,
2019,Burkina Faso,BFA,Yes,,
2012,Bangladesh,BGD,Yes,,
2013,Bangladesh,BGD,Yes,,
2015,Bangladesh,BGD,Yes,,
2018,Bangladesh,BGD,Yes,,
2020,Bangladesh,BGD,Yes,,
2007,Bahrain,BHR,No,,
2008,Bahrain,BHR,No,,
2010,Bahrain,BHR,No,,
2013,Bahrain,BHR,No,,
2014,Bahrain,BHR,No,,
2015,Bahrain,BHR,No,,
2007,Belarus,BLR,Yes,,
2013,Belarus,BLR,Yes,,
2018,Belarus,BLR,Yes,,
2019,Belarus,BLR,Yes,,
2020,Belarus,BLR,Yes,,
2008,Belize,BLZ,No,,
2010,Belize,BLZ,No,,
2014,Belize,BLZ,No,,
2016,Belize,BLZ,No,,
2019,Bolivia (Plurinational State of),BOL,Yes,,
2007,Botswana,BWA,No,,
2009,Botswana,BWA,No,,
2010,Botswana,BWA,No,,
2012,Botswana,BWA,No,,
2013,Botswana,BWA,Yes,,
2019,Botswana,BWA,Yes,,
2020,Botswana,BWA,Yes,,
2007,Barbados,BRB,No,,
2010,Barbados,BRB,Yes,,
2013,Barbados,BRB,Yes,,
2014,Barbados,BRB,Yes,,
2010,Myanmar,MMR,No,,
2011,Myanmar,MMR,No,,
2012,Myanmar,MMR,No,,
2015,Myanmar,MMR,No,,
2017,Myanmar,MMR,No,,
2018,Myanmar,MMR,Yes,,
2019,Myanmar,MMR,Yes,,
2020,Myanmar,MMR,Yes,,
2014,Brunei Darussalam,BRN,No,,
2018,Brunei Darussalam,BRN,Yes,,
2019,Brunei Darussalam,BRN,No,,
2007,Bhutan,BTN,Yes,,
2016,Bhutan,BTN,Yes,,
2020,Bhutan,BTN,Yes,,
2007,Bulgaria,BGR,Yes,,
2008,Bulgaria,BGR,Yes,,
2009,Bulgaria,BGR,Yes,,
2010,Bulgaria,BGR,Yes,,
2012,Bulgaria,BGR,Yes,,
2013,Bulgaria,BGR,Yes,,
2014,Bulgaria,BGR,Yes,,
2015,Bulgaria,BGR,Yes,,
2018,Bulgaria,BGR,Yes,,
2019,Bulgaria,BGR,Yes,,
2020,Bulgaria,BGR,Yes,,
2012,Central African Rep.,CAF,No,,
2013,Central African Rep.,CAF,No,,
2014,Central African Rep.,CAF,No,,
2019,Central African Rep.,CAF,Yes,,
2020,Central African Rep.,CAF,Yes,,
2008,Canada,CAN,Yes,,
2009,Canada,CAN,Yes,,
2010,Canada,CAN,Yes,,
2011,Canada,CAN,Yes,,
2012,Canada,CAN,Yes,,
2013,Canada,CAN,Yes,,
2014,Canada,CAN,Yes,,
2015,Canada,CAN,Yes,,
2016,Canada,CAN,Yes,,
2017,Canada,CAN,Yes,,
2018,Canada,CAN,Yes,,
2019,Canada,CAN,Yes,,
2020,Canada,CAN,Yes,,
2009,Cambodia,KHM,No,,
2010,Cambodia,KHM,No,,
2011,Cambodia,KHM,No,,
2013,Cambodia,KHM,No,,
2014,Cambodia,KHM,No,,
2015,Cambodia,KHM,No,,
2016,Cambodia,KHM,No,,
2017,Cambodia,KHM,Yes,,
2018,Cambodia,KHM,Yes,,
2019,Cambodia,KHM,Yes,,
2020,Cambodia,KHM,Yes,,
2009,Chile,CHL,Yes,,
2010,Chile,CHL,Yes,,
2013,Chile,CHL,Yes,,
2014,Chile,CHL,Yes,,
2018,Chile,CHL,Yes,,
2019,Chile,CHL,Yes,,
2020,Chile,CHL,Yes,,
2008,China,CHN,Yes,,
2009,China,CHN,Yes,,
2010,China,CHN,Yes,,
2011,China,CHN,Yes,,
2013,China,CHN,Yes,,
2019,China,CHN,Yes,,
2020,China,CHN,Yes,,
2007,Colombia,COL,Yes,,
2008,Colombia,COL,Yes,,
2010,Colombia,COL,Yes,,
